,",ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location"
87,"53369,4871,HP737737,12/17/2008 03:45:00 AM,016XX E 53RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2132,2.0,5.0,41.0,01A,1188037.0,1870446.0,2008,08/17/2015 03:03:40 PM,41.799587196,-87.585943259,""(41.799587196, -87.585943259)"""
88,"53938,4872,HP683603,12/15/2008 10:18:00 PM,105XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,512,5.0,9.0,49.0,01A,1178842.0,1834986.0,2008,08/17/2015 03:03:40 PM,41.702495331,-87.620740424,""(41.702495331, -87.620740424)"""
89,"54557,4873,HP742272,12/19/2008 08:00:00 PM,015XX W JARVIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,2422,24.0,49.0,1.0,01A,1164769.0,1949132.0,2008,08/17/2015 03:03:40 PM,42.016030425,-87.66903815,""(42.016030425, -87.66903815)"""
90,"55165,4874,HP742628,12/20/2008 05:00:00 AM,007XX W 59TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,711,7.0,20.0,68.0,01A,1172495.0,1865750.0,2008,08/17/2015 03:03:40 PM,41.787057554,-87.64307776,""(41.787057554, -87.64307776)"""
91,"55752,4875,HP742605,12/20/2008 01:01:00 AM,018XX N PULASKI RD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,2535,25.0,30.0,20.0,01A,1149422.0,1912016.0,2008,08/17/2015 03:03:40 PM,41.914494441,-87.726477977,""(41.914494441, -87.726477977)"""
92,"56344,4876,HP743380,12/20/2008 02:47:00 PM,012XX W 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,734,7.0,17.0,67.0,01A,1169091.0,1857695.0,2008,08/17/2015 03:03:40 PM,41.765027954,-87.655791365,""(41.765027954, -87.655791365)"""
93,"56829,4877,HP744064,12/21/2008 05:36:00 AM,057XX S MORGAN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,712,7.0,16.0,68.0,01A,1170624.0,1866777.0,2008,08/17/2015 03:03:40 PM,41.789916773,-87.649907926,""(41.789916773, -87.649907926)"""
94,"57607,4878,HP745393,12/19/2008 12:35:00 PM,038XX N TROY ST,0110,HOMICIDE,FIRST DEGREE MURDER,GANGWAY,True,False,1733,17.0,33.0,16.0,01A,1154703.0,1925401.0,2008,08/17/2015 03:03:40 PM,41.951119724,-87.706716852,""(41.951119724, -87.706716852)"""
95,"58331,6202600,HP289931,04/20/2008 02:39:18 AM,019XX W HOWARD ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,False,False,2424,24.0,49.0,1.0,04B,1161875.0,1950352.0,2008,05/11/2016 03:48:18 PM,42.019439266,-87.679652874,""(42.019439266, -87.679652874)"""
96,"58333,4879,HP746379,12/22/2008 08:40:00 PM,002XX W 91ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,True,False,634,6.0,21.0,49.0,01A,1176075.0,1844602.0,2008,08/17/2015 03:03:40 PM,41.728945342,-87.630584998,""(41.728945342, -87.630584998)"""
97,"59113,4880,HP746649,12/22/2008 09:09:00 PM,030XX S AVERS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1031,10.0,22.0,30.0,01A,1151190.0,1884132.0,2008,08/17/2015 03:03:40 PM,41.837943156,-87.72071375,""(41.837943156, -87.72071375)"""
98,"59721,4881,HP748372,12/24/2008 01:12:00 AM,008XX W 112TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2233,22.0,34.0,75.0,01A,1172811.0,1830576.0,2008,08/17/2015 03:03:40 PM,41.69052843,-87.64295372,""(41.69052843, -87.64295372)"""
99,"60308,4882,HP750645,12/26/2008 03:25:00 AM,042XX W WILCOX ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1115,11.0,28.0,26.0,01A,1148099.0,1898998.0,2008,08/17/2015 03:03:40 PM,41.878797251,-87.731673919,""(41.878797251, -87.731673919)"""
