,",ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location"
30,"17980,4815,HP645782,10/24/2008 03:41:00 PM,013XX S KOLIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,True,True,1011,10.0,24.0,29.0,01A,1147596.0,1893477.0,2008,08/17/2015 03:03:40 PM,41.863656629,-87.733662478,""(41.863656629, -87.733662478)"""
31,"18581,4816,HP652145,10/28/2008 01:25:00 PM,048XX S BISHOP ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,False,False,933,9.0,20.0,61.0,01A,1167485.0,1872588.0,2008,08/17/2015 03:03:40 PM,41.805930728,-87.661251143,""(41.805930728, -87.661251143)"""
32,"19254,4817,HP366390,10/24/2008 02:35:00 AM,072XX S EXCHANGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,334,3.0,7.0,43.0,01A,1194050.0,1857365.0,2008,08/17/2015 03:03:40 PM,41.763546495,-87.564321451,""(41.763546495, -87.564321451)"""
33,"19731,4818,HP654429,10/29/2008 04:00:00 PM,008XX W CUYLER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,False,2322,19.0,46.0,3.0,01A,1170030.0,1927277.0,2008,08/17/2015 03:03:40 PM,41.95594621,-87.650320737,""(41.95594621, -87.650320737)"""
34,"20350,4819,HN118196,10/27/2008 06:00:00 AM,042XX S PRAIRIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,214,2.0,3.0,38.0,01A,1178742.0,1877048.0,2008,08/17/2015 03:03:40 PM,41.817920375,-87.619829115,""(41.817920375, -87.619829115)"""
35,"20943,4820,HP657256,10/31/2008 05:37:00 AM,020XX W 63RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,726,7.0,15.0,67.0,01A,1163912.0,1862858.0,2008,08/17/2015 03:03:40 PM,41.779306305,-87.674629028,""(41.779306305, -87.674629028)"""
36,"21474,4821,HP624058,10/14/2008 12:10:00 AM,013XX W 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,734,7.0,17.0,67.0,01A,1168471.0,1857678.0,2008,08/17/2015 03:03:40 PM,41.764994683,-87.658064336,""(41.764994683, -87.658064336)"""
37,"22253,4822,HP659063,11/01/2008 12:50:00 AM,035XX W 72ND PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,831,8.0,18.0,66.0,01A,1154055.0,1856306.0,2008,08/17/2015 03:03:40 PM,41.761528108,-87.71093998,""(41.761528108, -87.71093998)"""
38,"23024,4823,HP659177,11/01/2008 01:55:00 AM,028XX N ROCKWELL ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,1411,14.0,1.0,21.0,01A,1158544.0,1918729.0,2008,08/17/2015 03:03:40 PM,41.932733398,-87.692780748,""(41.932733398, -87.692780748)"""
39,"23667,4824,HP665739,11/04/2008 05:15:00 PM,130XX S TORRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,434,4.0,10.0,55.0,01A,1195766.0,1819224.0,2008,08/17/2015 03:03:40 PM,41.65884168,-87.559288749,""(41.65884168, -87.559288749)"""
